Alternative Innovations Financial Services,ALTIMUM Financial & Commodity,CTA,Systematic,Trend Following,Commodity
Altin Holdings,Private Fund,CTA,Fund of Funds,Diversified,Global
Altiq,Altiq Global Program,CTA,Systematic,Multi Strategy,Global
Altiq,Futures Program,CTA,Systematic,Short Term,Global
Altis Partners Jersey Limited,Altis Global Trend Portfolio,CTA,Systematic,Trend Following,Global
Altis Partners Jersey Limited,Global Futures Portfolio,CTA,Systematic,Trend Following,Global
Altis Partners Jersey Limited,PureTrend Portfolio,CTA,Systematic,Trend Following,Global
Altitude Priple Advisory,Noho - Managed Fut Asia Eqty,CTA,Systematic,Multi Strategy,Equity
Altitude Priple Advisory,Noho Capital - Managed Futures on Asian Equity Indices - Intraday,CTA,Systematic,Short Term,Equity
Altonomy,Altonomy Taurus Top Liquidity Index Fund,Crypto,Crypto,Crypto,Crypto
Altradis Capital AG,Allvega,CTA,Systematic,Multi Strategy,Global
Altradis Capital AG,AlphAlgo,CTA,Systematic,Trend Following,Global
Altruid Systems Limited,Hybrid,CTA,Systematic,Multi Strategy,Global
Altus Trading,Altruid Systems,CTA,Systematic,Multi Strategy,Currency
Amapa Capital Advisors,Amapa Investment Program,CTA,Discretionary,Fundamental,Energy
Amati Global Investors,Systematic Trend Fund,CTA,Systematic,Trend Following,Global
Amber Hill Capital Limited,ES Currency Arbitrage,CTA,Systematic,Short Term,Currency
Amber Hill Capital Limited,ES Currency Arbitrage Fund,CTA,Systematic,Short Term,Currency
Ambient Capital Management,Intraday Futures,CTA,Systematic,Short Term,Global
AMBROX Capital,AQF Diversified,CTA,Systematic,Trend Following,Global
AmericaFirst,AmericaFirst Defensive Growth,Equity LS,Discretionary,Growth,US
AmericaFirst,AmericaFirst Income,AssetAllocation,Systematic,Diversified,Global
AmericaFirst,AmericaFirst Seasonal Rotation,AssetAllocation,Systematic,Seasonal,Global
AmericaFirst,AmericaFirst Tactical Alpha,AssetAllocation,Systematic,Diversified,Global
American Beacon,Ionic Strat Arbtrg,Hedge Fund,Discretionary,Multi Strategy,Global
American Beacon,SSI Alternative Inc,Fixed Income,Discretionary,Convertible,US
American Century,Core Market Neutral,Market Neutral,Discretionary,Fundamental,US
American Century,Discp Long Short,Equity LS,Systematic,Fundamental,US
American Century,Equity Market Netr,Market Neutral,Systematic,Fundamental,US
American Century,Market Neutral Val,Market Neutral,Systematic,Fundamental,US
American Companies,Macro Diversified Absolute Commodity Program (MACDAC),CTA,Systematic,Trend Following,Global
American Optimal Advisors,AORDA Portfolio 2,CTA,Systematic,Short Term,Equity
American Optimal Advisors,AORDA Portfolio 3,CTA,Systematic,Short Term,Equity
AMG,River Road Long-Short,Equity LS,Discretionary,Fundamental,US
Amplitude Capital International,Adagio Strategy,CTA,Systematic,Short Term,Global
Amplitude Capital International,Dynamic Strategy,CTA,Systematic,Short Term,Global
Amplitude Capital International,Klassik Strategy,CTA,Systematic,Short Term,Global
Amplitude Capital International,Vivace Strategy,Market Neutral,Systematic,Fundamental,Global
Amsys Capital,AMSYS (Digital Asset Fund LP),Crypto,Crypto,Crypto,Crypto
Amundi,Absolute Return European Equities,Equity LS,Discretionary,Fundamental,Europe
Amundi,Absolute Return Multi,CTA,Discretionary,Fundamental,Global
Amundi,Absolute Volatility Euro,CTA,Discretionary,Fundamental,Volatility
Amundi,Absolute Volatility World,CTA,Discretionary,Fundamental,Volatility
Amundi,Global Macro Bonds,CTA,Discretionary,Fundamental,Financial
Amundi,Global Macro Bonds Low Vol,CTA,Discretionary,Fundamental,Financial
Amundi,Global Macro Forex,CTA,Discretionary,Fundamental,Currency
Amundi Pioneer,Flexible Opportunities,AssetAllocation,Discretionary,Diversified,Global
Anavon Capital,Absolute Alpha,Equity LS,Discretionary,Fundamental,Global
Anavon Capital,Global Equity (Tages),Equity LS,Discretionary,Value,Global
Anchor Capital,Tactical Equity Strategies,Equity LS,Systematic,Technical,US
Anchor Capital,Tactical Global Strategies,Equity LS,Systematic,Technical,Global
Anchor Crypto Growth Fund,ANCHORGROWTH,Crypto,Crypto,Crypto,Crypto
Ancile Capital Management,Global Markets,CTA,Systematic,Multi Strategy,Global
Anderson Creek Trading,Standard Diversified Strategy,CTA,Systematic,Trend Following,Global
Andurand Capital Management,Commodities,CTA,Discretionary,Fundamental,Energy
Anello Asset Management,AAM Diversified Futures Program (Prop),CTA,Systematic,Trend Following,Global
Angle Capital Management,Angle Investment Partners LLC,CTA,Systematic,Trend Following,Global
Anima,Star High Potential Europe,Equity LS,Discretionary,Fundamental,Europe
Anima,Star High Potential Italy,Equity LS,Discretionary,Fundamental,Europe
Ansbacher Investment Management,Elizaville Partners,CTA,Discretionary,Option Writer,Equity
Anthony Capital Management,Short Term Index Futures,CTA,Systematic,Short Term,Equity
Anthony W Madia,Global Diversified,CTA,Systematic,Multi Strategy,Global
Antipodes,Global Fund,Equity LS,Discretionary,Fundamental,Global
AP Futures,Volatility Trading Program,CTA,Discretionary,Fundamental,Volatility
Aperture,Credit Opportunities,Fixed Income,Discretionary,Fundamental,Credit
Aphilion,Aphilion SIF,Market Neutral,Systematic,Fundamental,Europe
Apis,Global Long Short Equity (Alma),Equity LS,Discretionary,Fundamental,Global
Apis Capital Management,ACM Market Neutral Volatility Strategy,CTA,Discretionary,Market Neutral,Volatility
Apollo Capital Management Pty,Apollo Capital Fund,Crypto,Crypto,Crypto,Crypto
Appleton Capital Management,Currency 10,CTA,Systematic,Fundamental,Currency
Appleton Capital Management,Deleveraged Currency Program,CTA,Systematic,Fundamental,Currency
Appleton Capital Management,Global Currency Program,CTA,Systematic,Fundamental,Currency
Appleton Capital Management,Global Opportunity Program,CTA,Systematic,Fundamental,Global
Applied Capital Systems,Systematic Div 1x,CTA,Systematic,Multi Strategy,Global
Applied Capital Systems,Systematic Div 2x,CTA,Systematic,Multi Strategy,Global
Applied Investments,Alpha Vol,CTA,Discretionary,Option Strategy,Equity
Apr Management,ES VIX Program,CTA,Systematic,Short Term,Volatility
AQR Capital Management,Alternative Trends Strategy,CTA,Systematic,Trend Following,Alternative
AQR Capital Management,AQR Global Macro Fund,CTA,Systematic,Fundamental,Global
AQR Capital Management,AQR Global Relative (Lumyna),RiskPremia,Systematic,Multi Strategy,Global
AQR Capital Management,AQR Managed Futures,CTA,Systematic,Trend Following,Global
AQR Capital Management,AQR Managed Futures HV Strategy,CTA,Systematic,Trend Following,Global
AQR Capital Management,AQR Risk-Balanced Commodities Strategy,LongOnly,Risk Parity,Diversified,Commodity
AQR Capital Management,AQR Volatility Risk Premium Fund,Equity LS,Systematic,Option Strategy,Equity
AQR Capital Management,Delphi Long Short,Equity LS,Systematic,Fundamental,Equity
AQR Capital Management,Diversified Arbitrage,Hedge Fund,Discretionary,Multi Strategy,Global
AQR Capital Management,Equity Market Neutral,Market Neutral,Systematic,Fundamental,US
AQR Capital Management,Global Macro Opportunities,CTA,Systematic,Fundamental,Global
AQR Capital Management,Global Macro Strategy,CTA,Systematic,Fundamental,Global
AQR Capital Management,Long-Short Equity,Equity LS,Systematic,Fundamental,Global
AQR Capital Management,Managed Futures UCITS,CTA,Systematic,Trend Following,Global
AQR Capital Management,Multi-Asset,LongOnly,Risk Parity,Diversified,Global
AQR Capital Management,Risk Parity II HV,LongOnly,Risk Parity,Diversified,Global
AQR Capital Management,Risk Parity II MV,LongOnly,Risk Parity,Diversified,Global
AQR Capital Management,Style Premia,RiskPremia,Systematic,Multi Strategy,Global
AQR Capital Management,Style Premia Equity,RiskPremia,Systematic,Multi Strategy,Equity
AQR Capital Management,Systematic Total Return,Hedge Fund,Systematic,Multi Strategy,Global
