Aquantum,ACS Energies,CTA,Systematic,Market Neutral,Energy
Aquantum,Aquantum Global Systematic Program (AGS),CTA,Systematic,Short Term,Global
Aquantum,Aquantum Global Systematic UCITS Fund (I),CTA,Systematic,Short Term,Global
Aquantum,Commodity Spread,CTA,Systematic,Market Neutral,Commodity
Aquarius,POTSANDPANS,Crypto,Crypto,Crypto,Crypto
Aquila Capital Concepts,AC Pharos Evolution Fund UCITS III,CTA,Systematic,Multi Strategy,Global
Aquila Capital Concepts,AC Quant - Spectrum Fund EUR A,CTA,Systematic,Multi Strategy,Global
Aquila Fund,ECLAIRFUND,Crypto,Crypto,Crypto,Crypto
Arabesque,Systematic USA,LongOnly,Systematic,Momentum,Equity
Arca Investment Management,Digital Assets,Crypto,Crypto,Crypto,Crypto
Arcadia Fund,Global Managed Futures,CTA,Systematic,Short Term,Global
Arcanum Asset Management,Equity Index Option Program (Prop),CTA,Discretionary,Option Writer,Equity
Archetype Risk Advisors,ARA Archon,CTA,Systematic,Short Term,Equity
Archimedes Capital Group,Archimedes Capital Fund LP Pro,CTA,Discretionary,Fundamental,Commodity
Archipel Trading,STARS,CTA,Discretionary,Technical,Global
ArchSight Capital Partners,Abacus Trading Program,CTA,Discretionary,Fundamental,Global
ArchSight Capital Partners,Prometheus Trading Program,CTA,Discretionary,Fundamental,Global
Arctic Blue Capital,Arctic Blue 1x Share Class,CTA,Discretionary,Technical,Global
Arctic Blue Capital,Arctic Blue 2X Program,CTA,Systematic,Trend Following,Global
Arctic Blue Capital,Arctic Blue 3x Share Class,CTA,Discretionary,Technical,Global
Arctic Blue Capital,Inuvik Strategy,CTA,Systematic,Trend Following,Commodity
Arctos FX,FX_TRVf,CTA,Systematic,Multi Strategy,Currency
Arcus,Japan Long Short,Equity LS,Discretionary,Value,Japan
Ardevora,Global Equity,Equity LS,Discretionary,150/50,Global
Ardevora,Uk Equity,Equity LS,Discretionary,150/50,UK
Ardmore Systems Trading,Trading Program,CTA,Discretionary,Technical,Commodity
Argonaut,Absolute Return,Equity LS,Discretionary,Fundamental,Global
ARIN,Arin Large Cap Theta Fund,Equity LS,Systematic,Option Strategy,Equity
Arion Investment Management,Arion Commodities,CTA,Discretionary,Fundamental,Commodity
Arion Investment Management,Arion Copper Arbitrage,CTA,Discretionary,Market Neutral,Metal
Ark Capital Management,Macro Flex,CTA,Discretionary,Fundamental,Global
Ark Royal,Ark Diversified Fund,Hedge Fund,Fund of Funds,Diversified,Global
Ark Royal,Investment Program,Hedge Fund,Fund of Funds,Diversified,Global
Arkanar Financial,Arkanar Global Macro Fund,CTA,Discretionary,Fundamental,Global
ARP Investments,ARP Systematic Alpha,CTA,Systematic,Trend Following,Global
ARP Investments,Systematic Alpha Global Macro,CTA,Systematic,Multi Strategy,Global
ARP Investments,Systematic Alpha Trend Following LV,CTA,Systematic,Trend Following,Global
Artemis,Pan-European Absolute,Equity LS,Discretionary,Fundamental,Europe
Artemis,Strategic Assets,AssetAllocation,Discretionary,Diversified,Global
Artemis,Us Absolute Return,Equity LS,Discretionary,Fundamental,US
Artemis Capital Management,Hedgehog,CTA,Discretionary,Option Strategy,Volatility
Artemis Capital Management,Vega Fund,CTA,Discretionary,Option Strategy,Volatility
Arx Asset Management,Diversified Option,CTA,Systematic,Option Strategy,Global
Arx Asset Management,Gold Program,CTA,Systematic,Option Strategy,Metal
Ascendant Asset Advisors,Aggressive Options Program,CTA,Discretionary,Option Writer,Equity
Ascendant Asset Advisors,JLD Managed Futures Trading Program,CTA,Systematic,Trend Following,Global
Ascendant Asset Advisors,JLDeVore Institutional Program,CTA,Systematic,Trend Following,Global
Ascendant Asset Advisors,Short Term Trading Program,CTA,Systematic,Short Term,Global
Ashley Capital,Global Financial,CTA,Systematic,Trend Following,Global
Asia Genesis Asset Management,Macro Fund,CTA,Discretionary,Fundamental,Global
Aspect Capital Limited,Aspect Core Trend Fund,CTA,Systematic,Trend Following,Global
Aspect Capital Limited,Aspect Core Trend HV Fund,CTA,Systematic,Trend Following,Global
Aspect Capital Limited,Aspect Systematic Global Macro,CTA,Systematic,Multi Strategy,Global
Aspect Capital Limited,Aspect Tactical Opportunities,CTA,Systematic,Short Term,Global
Aspect Capital Limited,Diversified Program,CTA,Systematic,Trend Following,Global
Aspect Capital Limited,Dynamic Currency Hedging,CTA,Systematic,Multi Strategy,Currency
Aspen Partners,Managed Futures Strategy,CTA,Systematic,Trend Following,Global
Aspen Private Capital,Investment Program,CTA,Discretionary,Option Writer,Global
Aspen Trading Group,Aspen Trading FX / S&P 500 Alpha,CTA,Discretionary,Short Term,Financial
Assenagon,Alpha Volatility,Hedge Fund,Discretionary,Volatility Arbitrage,Global
Asset Management by Windsor Securities,2,CTA,Systematic,Short term,Equity
Asset Management by Windsor Securities,Broad Heuristic Tactical Strategy,CTA,Systematic,Multi Strategy,Global
Asset Management by Windsor Securities,Class Growth Strategy (WAC),CTA,Discretionary,Multi Strategy,Global
Asset Management by Windsor Securities,Income 2 Strategy (MI2),CTA,Systematic,Short Term,Fixed Income
Asset Management by Windsor Securities,Non-Correlated All,CTA,Systematic,Short Term,Equity
Asset Management by Windsor Securities,Triple Advantage Strategy,CTA,Systematic,Short Term,Equity
Asset Management by Windsor Securities,Triple Advantage Strategy 2x,CTA,Systematic,Short Term,Equity
Asset Management by Windsor Securities,Windsor Income 3+ Strategy (W16),CTA,Systematic,Short term,Fixed Income
Astor,Astor Dynamic Allocation,LongOnly,Systematic,Diversified,Global
Astor,Astor Sector Allocation,LongOnly,Systematic,Sector,Equity
Astor Duet,Global Futures Fund,CTA,Discretionary,Fundamental,Global
Astute Capital Group,Pulse Program,CTA,Systematic,Multi Strategy,Global
Asymmetric Asset Management AS,Asymmetric  Global Macro Fund,CTA,Discretionary,Fundamental,Global
Asymmetry Top40 Performance,Asymmetry Top40 Performance,Crypto,Crypto,Crypto,Crypto
ATAC,ATAC Rotation Investor,AssetAllocation,Systematic,Diversified,Global
Athena Pro Series,Athena Pro Series II Class C,CTA,Fund of Funds,Diversified,Global
Atkins and Associates,Global Currency Reserve LP,CTA,Fund of Funds,Diversified,Currency
Atlant Fonder,Atlant Edge,Equity LS,Discretionary,Option Strategy,Nordic
Atlant Fonder,Atlant MultiStrategy,Equity LS,Discretionary,Option Strategy,Nordic
Atlant Fonder,Atlant Opportunity,Equity LS,Discretionary,Option Strategy,Nordic
Atlant Fonder,Atlant Protect,Equity LS,Discretionary,Option Strategy,Nordic
Atlant Fonder,Atlant Sharp,Equity LS,Discretionary,Option Strategy,Nordic
Atlant Fonder,Atlant Sharp Europe,Equity LS,Discretionary,Option Strategy,Nordic
Atlant Fonder,Atlant Stability,Equity LS,Discretionary,Option Strategy,Nordic
Atlant Fonder,Atlant Stability Offensiv,Equity LS,Discretionary,Option Strategy,Nordic
Atlantic Capital Advisors,Global Diversified,CTA,Discretionary,Multi Strategy,Global
Atlantic Capital Advisors,Macro Commodities,CTA,Systematic,Multi Strategy,Commodity
Atlantic-Pacific Trading Group,Enhanced Turtle Trader 25,CTA,Systematic,Trend Following,Global
Atlas One Lp,Investment Program,CTA,Fund of Funds,Diversified,Global
Atonic,Atonic Gold,CTA,Systematic,Trend Following,Metal
ATP Capital Management,Granularity Alpha,CTA,Systematic,Multi Strategy,Global
Atreaus Capital,Macro Fund (Tages),CTA,Discretionary,Fundamental,Global
Attain Portfolio Advisors,Modified Program,CTA,Systematic,Multi Strategy,Global
Attain Portfolio Advisors,Standard Program,CTA,Systematic,Multi Strategy,Global
Attis Capital,Attis Capital Crypto,Crypto,Crypto,Crypto,Crypto
Attis Capital,Attis Capital Crypto Strategy,Crypto,Crypto,Crypto,Crypto
Attunga Capital Pty,Agricultural Trading Fund (ATF),CTA,Discretionary,Fundamental,Agricultural
Attunga Capital Pty,Enviro Opportunities,CTA,Discretionary,Fundamental,Global
Attunga Capital Pty,Power & Energy (Offshore Fund),CTA,Discretionary,Fundamental,Energy
Auctos Capital Management,Global Diversified Program,CTA,Systematic,Trend Following,Global
Audentia Capital Sicav Plc,360 World Bond Fund,CTA,Systematic,Fundamental,Fixed Income
Audentia Capital Sicav Plc,World FX,CTA,Systematic,Multi Strategy,Currency
Aune Capital Management,ACM Strategy,CTA,Systematic,Multi Strategy,Global
Aurapoint Asset Management,Broadbeach,CTA,Discretionary,Technical,Currency
Aurapoint Asset Management,Calypso1,CTA,Discretionary,Technical,Currency
Aurapoint Asset Management,Joust,CTA,Discretionary,Technical,Currency
Aurapoint Asset Management,Mantoloking,CTA,Discretionary,Technical,Currency
Aurapoint Asset Management,Mars,CTA,Discretionary,Technical,Currency
Aurapoint Asset Management,QV,CTA,Discretionary,Technical,Currency
Aurapoint Asset Management,Sagent FX,CTA,Discretionary,Technical,Currency
Aurapoint Asset Management,Satco,CTA,Discretionary,Technical,Equity
Aurapoint Asset Management,Spencer,CTA,Systematic,Short Term,Currency
Aurapoint Asset Management,Vakt,CTA,Discretionary,Technical,Currency
Aurea Asset Management,Aurea Option Spread Program,CTA,Discretionary,Option Strategy,Metal
Auricor,Energy Trading,CTA,Discretionary,Fundamental,Energy
Aurum Options Strategies,Aurum Options Strategies,CTA,Discretionary,Option Strategy,Volatility
Auspice Capital Advisors,Auspice Diversified,CTA,Systematic,Trend Following,Global
Auspice Capital Advisors,Broad Commodity Index,LongOnly,Active Index,Diversified,Commodity
Auspice Capital Advisors,Managed Futures Index,CTA,Systematic,Trend Following,Global
Auspice Capital Advisors,Short Term (AST),CTA,Systematic,Short Term,Energy
Auspice Capital Advisors,Tactical Futures,CTA,Systematic,Trend Following,Global
Autodidactic I Funds,Autodidactic Crypto Fund Ltd,Crypto,Crypto,Crypto,Crypto
AutoGrow Crypto,AUTOGROWCRYPTOFUND,Crypto,Crypto,Crypto,Crypto
Automaton Trading,Diversified Program I,CTA,Systematic,Short Term,Global
Automaton Trading,Diversified Program II,CTA,Systematic,Short Term,Global
Automaton Trading,No Trend,CTA,Systematic,Short Term,Global
Availeth Capital,Optimum (Client),CTA,Systematic,Trend Following,Global
Availeth Capital,Optimum Proprietary,CTA,Systematic,Trend Following,Global
Aventicum,Absolute Return,Equity LS,Discretionary,Fundamental,Europe
Aventis Asset Management,Diversified Commodity Strategy,CTA,Discretionary,Fundamental,Commodity
Aviva,Investors Global Convertibles,Fixed Income,Discretionary,Convertible,Global
Aviva,Investors Multi Strategy,AssetAllocation,Discretionary,Multi Strategy,Global
Aviva,Investors Multi Strategy Target Income,AssetAllocation,Discretionary,Multi Strategy,Global
Aviva,Investors Multi Strategy Target Returns,AssetAllocation,Discretionary,Multi Strategy,Global
AVR Capital Advisors,Diversified Trading Program,CTA,Systematic,Multi Strategy,Equity
AVR Capital Advisors,Managed Futures Program,CTA,Systematic,Short Term,Equity
AVR Capital Advisors,Micro Program,CTA,Systematic,Multi Strategy,Equity
AXA Chorus,Systematic Macro,CTA,Systematic,Fundamental,Global
AXA Chorus,World Funds,CTA,Systematic,Fundamental,Global
AXA Chorus,World Funds Multi Strategy,CTA,Systematic,Fundamental,Global
Axelsson Ventures,AXELSSONVENTURES,Crypto,Crypto,Crypto,Crypto
Axiom,Long Short Credit,Fixed Income,Discretionary,Fundamental,Global
AXS Multi-Strategy Alternatives Fund,AXS Multi-Strategy Alternatives Fund,Equity LS,Systematic,Fundamental,Global
Azimut,Strategic Trend,AssetAllocation,Discretionary,Diversified,Global
B G Asset Management,Futures Trend Trading Programme,CTA,Systematic,Trend Following,Global
Back Bay FX Services,Neural Stock Index Program,CTA,Systematic,AI,Currency
Badger Investment Group,Index Program,CTA,Discretionary,Option Writer,Equity
Baillie Gifford,Baillie Gifford Multi Asset,AssetAllocation,Discretionary,Diversified,Global
Bair Capital Management,Polaris Institutional  Pro,CTA,Discretionary,Short Term,Currency
Bair Capital Management,Polaris Program Pro,CTA,Discretionary,Short Term,Currency
Bair Capital Management,Poseidon Pro,CTA,Discretionary,Short Term,Currency
Bair Capital Management,Triton Program  Pro,CTA,Discretionary,Short Term,Currency
Balanced Capital,Int'l. Algo Trading,CTA,Discretionary,Fundamental,Global
Ballymena Advisors,Ballymena Global Assets Master Fund LDC,CTA,Discretionary,Fundamental,Agricultural
Balorca Capital,Strategic I Program,CTA,Systematic,Multi Strategy,Equity
Bamboo Trading,Discretionary Macro,CTA,Discretionary,Fundamental,Global
Bank Genese,BANKGENESE,Crypto,Crypto,Crypto,Crypto
Bankhaus Lamp,Air2,Hedge Fund,Fund of Funds,Diversified,Global
Bankhaus Lampe,Lampe Grip (GS),RiskPremia,Systematic,Diversified,Global
Banor,Mistral Long Short Equity,Equity LS,Discretionary,Fundamental,Global
Bantleon,Event Driven Equities,Event Driven,Discretionary,Fundamental,Global
Bantleon,Select Div. Markets,CTA,Systematic,Trend Following,Global
Barclays Capital,Liquid Alternative,Hedge Fund,Fund of Funds,Diversified,Global
Bardin Hill,Arbitrage (Franklin K2),Event Driven,MergerArb,Fundamental,Global
BASE Investments SICAV,Macro Dynamic,Hedge Fund,Discretionary,Multi Strategy,Global
BASE Investments SICAV,Multi Asset Capital Appreciation FoF,Hedge Fund,Fund of Funds,Diversified,Global
BASICORN,BASICORN,Crypto,Crypto,Crypto,Crypto
Bastiat Capital,Bastiat Divergence Program,CTA,Systematic,Trend Following,Global
Basu and Braun,Currency Program,CTA,Systematic,Short Term,Currency
Bay Hill Capital Advisors,Bay Hill Commodity Alpha (Prop),CTA,Systematic,Market Neutral,Commodity
Bayland Capital Management,Trading Program,CTA,Systematic,Multi Strategy,Global
BBK BISANG BLASS KAVENA Capital Partners AG,BBK Long/Short FX Program,CTA,Systematic,Short Term,Currency
BC Value,BCVALUEINCOME BC,Crypto,Crypto,Crypto,Crypto
Beacon,Beacon Accelerated Return Strategy Fund,Equity LS,Systematic,Option Strategy,Equity
Beacon,Beacon Planned Return Strategy Fund,Equity LS,Systematic,Option Strategy,Equity
Beann Capital,Honeybee Fund LP,CTA,Systematic,AI,Equity
Bear Commodities Corporation,Commodities Level II,CTA,Discretionary,Short Term,Commodity
Beardown Partners,Vertical Equity Trading System,CTA,Discretionary,Option Strategy,Equity
Becker Asset Management,Program A,CTA,Systematic,Multi Strategy,Global
Becker Asset Management,Program B,CTA,Systematic,Multi Strategy,Global
Becker Asset Management,Program B Client,CTA,Systematic,Multi Strategy,Global
Beech Hill,Beech Hill Total Return,AssetAllocation,Discretionary,Diversified,Global
BelAir Capital Asset Management,Managed Account Program,CTA,Systematic,Multi Strategy,Global
Bellevue,Global Macro,AssetAllocation,Discretionary,Multi Strategy,Global
Belvedere Asset Management,Alternative Income Fund,CTA,Systematic,Option Writer,Volatility
Bensboro Advisors,Seasonal Futures Fund,CTA,Systematic,Behavioral,Global
Berenberg,Dymacs Volatility Premium,CTA,Systematic,Option Writer,Equity
Berenberg,Variato,AssetAllocation,Fund of Funds,Diversified,Global
Beryl Investment Group,Nominal Discretionary,CTA,Discretionary,Technical,Global
Best Fx Traders,Investment Program,CTA,Systematic,Trend Following,Currency
BG Amethyst Capital,Managed Account Program,CTA,Systematic,Trend Following,Global
BH-DG Systematic Trading,BH-DG Systematic Trading Fund,CTA,Systematic,Trend Following,Global
Bharwani Asset Management,Alpha Program,CTA,Discretionary,Fundamental,Agricultural
Bidwell Investments,Global Macro,CTA,Discretionary,Multi Strategy,Global
Bifrost Quest Capital,IndexQuest (Proprietary),CTA,Systematic,Short Term,Global
Bifrost Quest Capital,IndexQuest Trading,CTA,Systematic,Short Term,Financial
Bighorn Capital Partners,Denali Program,CTA,Discretionary,Fundamental,Agricultural
Bighorn Capital Partners,Heartland,CTA,Discretionary,Fundamental,Global
BitBull Capital,BitBull Fund,Crypto,Crypto,Crypto,Crypto
BitBull Capital,BitBull Opportunistic Fund,Crypto,Crypto,Crypto,Crypto
Bitcoin Crypto Assets,BITCOINCRYPTOASSETSFUND,Crypto,Crypto,Crypto,Crypto
Bitcoin Superfund,BITCOINSUPERFUND,Crypto,Crypto,Crypto,Crypto
Bituni Network,BITUNINETWORK1,Crypto,Crypto,Crypto,Crypto
BK Systematic Strategies,Novum Quantitative Trading Program (Proprietary),CTA,Systematic,Multi Strategy,Global
Bkcoin Capital,Digital Asset Fund,Crypto,Crypto,Crypto,Crypto
Black and White Capital,Innovation,Equity LS,Discretionary,Fundamental,US
Black Bear Capital Advisor,Global Equity Macro,CTA,Systematic,Multi Strategy,Equity
BlackBird Asset Management,Alpha Spread 2.5X,CTA,Discretionary,Fundamental,Commodity
BlackBird Asset Management,Commodity Spread,CTA,Discretionary,Market Neutral,Commodity
BlackBird Asset Management,Commodity Spread 0.5x,CTA,Discretionary,Market Neutral,Commodity
Blackheath Fund Management,AI Global Macro Strategy,CTA,Systematic,AI,Currency
Blackheath Fund Management,Sentiment Strategy,CTA,Systematic,Contrarian,Global
Blackheath Fund Management,Tactical FI Strategy,CTA,Discretionary,Option Writer,Fixed Income
